filename,family
0xProtoNerdFontMono-Regular.ttf,0xProto Nerd Font Mono
3270NerdFontMono-Regular.ttf,3270 Nerd Font Mono
AdwaitaMonoNerdFontMono-Regular.ttf,AdwaitaMono Nerd Font Mono
AgaveNerdFontMono-Regular.ttf,Agave Nerd Font Mono
AnonymiceProNerdFontMono-Regular.ttf,AnonymicePro Nerd Font Mono
ArimoNerdFont-Regular.ttf,Arimo Nerd Font
AtkynsonMonoNerdFontMono-Regular.otf,AtkynsonMono Nerd Font Mono
AurulentSansMNerdFontMono-Regular.otf,AurulentSansM Nerd Font Mono
BigBlueTerm437NerdFontMono-Regular.ttf,BigBlueTerm437 Nerd Font Mono
BitstromWeraNerdFontMono-Regular.ttf,BitstromWera Nerd Font Mono
BlexMonoNerdFontMono-Regular.ttf,BlexMono Nerd Font Mono
CaskaydiaCoveNerdFontMono-Regular.ttf,CaskaydiaCove Nerd Font Mono
CaskaydiaMonoNerdFontMono-Regular.ttf,CaskaydiaMono Nerd Font Mono
CodeNewRomanNerdFontMono-Regular.otf,CodeNewRoman Nerd Font Mono
ComicShannsMonoNerdFontMono-Regular.otf,ComicShannsMono Nerd Font Mono
CommitMonoNerdFontMono-Regular.otf,CommitMono Nerd Font Mono
CousineNerdFontMono-Regular.ttf,Cousine Nerd Font Mono
D2CodingLigatureNerdFontMono-Regular.ttf,D2CodingLigature Nerd Font Mono
DaddyTimeMonoNerdFontMono-Regular.ttf,DaddyTimeMono Nerd Font Mono
DejaVuSansMNerdFontMono-Regular.ttf,DejaVuSansM Nerd Font Mono
DepartureMonoNerdFontMono-Regular.otf,DepartureMono Nerd Font Mono
DroidSansMNerdFontMono-Regular.otf,DroidSansM Nerd Font Mono
EnvyCodeRNerdFontMono-Regular.ttf,EnvyCodeR Nerd Font Mono
FantasqueSansMNerdFontMono-Regular.ttf,FantasqueSansM Nerd Font Mono
FiraCodeNerdFontMono-Regular.ttf,FiraCode Nerd Font Mono
FiraMonoNerdFontMono-Regular.otf,FiraMono Nerd Font Mono
GeistMonoNerdFontMono-Regular.otf,GeistMono Nerd Font Mono
GohuFont11NerdFontMono-Regular.ttf,GohuFont 11 Nerd Font Mono
GoMonoNerdFontMono-Regular.ttf,GoMono Nerd Font Mono
HackNerdFontMono-Regular.ttf,Hack Nerd Font Mono
HasklugNerdFontMono-Regular.otf,Hasklug Nerd Font Mono
HeavyDataNerdFont-Regular.ttf,HeavyData Nerd Font
HurmitNerdFontMono-Regular.otf,Hurmit Nerd Font Mono
iMWritingMonoNerdFontMono-Regular.ttf,iMWritingMono Nerd Font Mono
InconsolataGoNerdFontMono-Regular.ttf,InconsolataGo Nerd Font Mono
InconsolataLGCNerdFontMono-Regular.ttf,Inconsolata LGC Nerd Font Mono
InconsolataNerdFontMono-Regular.ttf,Inconsolata Nerd Font Mono
IntoneMonoNerdFontMono-Regular.ttf,IntoneMono Nerd Font Mono
IosevkaNerdFontMono-Regular.ttf,Iosevka Nerd Font Mono
IosevkaTermNerdFontMono-Regular.ttf,IosevkaTerm Nerd Font Mono
IosevkaTermSlabNerdFontMono-Regular.ttf,IosevkaTermSlab Nerd Font Mono
JetBrainsMonoNerdFontMono-Regular.ttf,JetBrainsMono Nerd Font Mono
LektonNerdFontMono-Regular.ttf,Lekton Nerd Font Mono
LilexNerdFontMono-Regular.ttf,Lilex Nerd Font Mono
LiterationMonoNerdFontMono-Regular.ttf,LiterationMono Nerd Font Mono
M+1CodeNerdFontMono-Regular.ttf,M+1Code Nerd Font Mono
MartianMonoNerdFontMono-Regular.ttf,MartianMono Nerd Font Mono
MesloLGLDZNerdFontMono-Regular.ttf,MesloLGLDZ Nerd Font Mono
MonaspiceArNerdFontMono-Regular.otf,MonaspiceAr Nerd Font Mono
MonofurNerdFontMono-Regular.ttf,Monofur Nerd Font Mono
MonoidNerdFontMono-Regular.ttf,Monoid Nerd Font Mono
MononokiNerdFontMono-Regular.ttf,Mononoki Nerd Font Mono
NotoMonoNerdFontMono-Regular.ttf,NotoMono Nerd Font Mono
OpenDyslexicMNerdFontMono-Regular.otf,OpenDyslexicM Nerd Font Mono
OverpassMNerdFontMono-Regular.otf,OverpassM Nerd Font Mono
ProFontIIxNerdFontMono-Regular.ttf,ProFont IIx Nerd Font Mono
ProggyCleanCENerdFontMono-Regular.ttf,ProggyClean CE Nerd Font Mono
RecMonoCasualNerdFontMono-Regular.ttf,RecMonoCasual Nerd Font Mono
RobotoMonoNerdFontMono-Regular.ttf,RobotoMono Nerd Font Mono
SauceCodeProNerdFontMono-Regular.ttf,SauceCodePro Nerd Font Mono
ShureTechMonoNerdFontMono-Regular.ttf,ShureTechMono Nerd Font Mono
SpaceMonoNerdFontMono-Regular.ttf,SpaceMono Nerd Font Mono
SymbolsNerdFontMono-Regular.ttf,Symbols Nerd Font Mono
TerminessNerdFontMono-Regular.ttf,Terminess Nerd Font Mono
TinosNerdFont-Regular.ttf,Tinos Nerd Font
UbuntuMonoNerdFontMono-Regular.ttf,UbuntuMono Nerd Font Mono
UbuntuNerdFont-Regular.ttf,Ubuntu Nerd Font
UbuntuSansMonoNerdFontMono-Regular.ttf,UbuntuSansMono Nerd Font Mono
VictorMonoNerdFontMono-Regular.ttf,VictorMono Nerd Font Mono
ZedMonoNerdFontMono-Regular.ttf,ZedMono Nerd Font Mono
